Shipment_ID,LR_Number,Transport_Company,Vehicle_Number,Driver_Name,Origin,Destination,Dispatch_Date,Material,Package_Count,Weight_KG,Charged_Weight,Freight,Loading_Charges,Unloading_Charges,Total_LR_Amount
S1032,LR-36463,FastCargo,MH12AA3970,Deepak,Chandrapur,Parbhani,2024-01-21,Automotive Parts,120,4784.76,4865.9,30753,458,381,31592
S1033,LR-45217,BlueLine Transport,MH12AF2243,Amit,Mumbai,Pune,2024-03-02,Consumer Goods,40,1203.31,1209.57,7181,212,661,8054
S1034,LR-29285,ExpressHaul Pvt Ltd,MH12EC7354,Naresh,Akola,Wardha,2024-02-24,Machinery,70,2660.96,2695.9,16084,434,431,16949
S1035,LR-95938,MetroCargo Logistics,MH12CC5959,Ajay,Mumbai,Pune,2024-02-05,Food Products,44,917.54,1181.29,5241,452,704,6397
S1036,LR-36806,RapidHaul Logistics,MH12EC5841,Manoj,Solapur,Jalgaon,2024-02-18,Construction Material,113,3288.55,3345.7,14015,521,561,15097
S1037,LR-90387,PrimeRoute Carriers,MH12HH3446,Santosh,Mumbai,Pune,2024-02-24,Machinery,73,2924.66,2949.28,16003,258,751,17012
S1038,LR-61198,UrbanMove Logistics,MH12FF6333,Nitin,Gondia,Satara,2024-02-02,Plastic Granules,39,958.16,979.77,5242,790,697,6729
S1039,LR-77046,ABC_Logistics,MH12EC2274,Santosh,Pune,Kolhapur,2024-01-14,Food Products,94,2953.2,3002.0,18437,544,501,19482
S1040,LR-56280,ExpressHaul Pvt Ltd,MH12BD1073,Pravin,Pune,Mumbai,2024-01-15,Electronics,120,4895.11,4939.69,26393,663,682,27738
S1041,LR-42615,MetroCargo Logistics,MH12DE5511,Ashok,Mumbai,Aurangabad,2024-02-21,Food Products,120,3808.58,3810.16,21599,320,519,22438
S1042,LR-45173,MetroCargo Logistics,MH12AA4774,Rakesh,Satara,Latur,2024-01-21,Pharmaceuticals,53,2278.87,2316.15,13665,786,333,14784
S1043,LR-64077,ABC_Logistics,MH12AB3268,Ganesh,Mumbai,Nashik,2024-01-31,Food Products,88,3296.91,3311.12,22827,483,507,23817
S1044,LR-64643,ExpressHaul Pvt Ltd,MH12GB1804,Rahul,Mumbai,Aurangabad,2024-02-04,Textiles,114,2964.52,3004.9,14418,329,577,15324
S1045,LR-65932,ABC_Logistics,MH12AF8436,Ravi,Mumbai,Aurangabad,2024-01-22,Consumer Goods,104,4083.53,4154.06,28211,649,599,29459
S1046,LR-81424,PrimeRoute Carriers,MH12AC4678,Sunil,Mumbai,Aurangabad,2024-01-31,Steel Coils,112,4743.4,4827.3,21492,728,762,22982
S1047,LR-43032,PrimeRoute Carriers,MH12FH2016,Ramesh,Amravati,Nanded,2024-03-05,Pharmaceuticals,120,4838.76,4852.61,21053,664,581,22298
S1048,LR-61286,BlueLine Transport,MH12GC2728,Ajay,Pune,Kolhapur,2024-02-17,Chemical Drums,113,3563.11,3702.07,15218,207,571,15996
S1049,LR-53274,FastCargo,MH12AH4813,Sunil,Pune,Nashik,2024-02-16,Steel Coils,120,4663.78,4760.77,25026,335,357,25718
S1050,LR-14959,ExpressHaul Pvt Ltd,MH12FA3796,Sachin,Pune,Mumbai,2024-01-14,Machinery,109,1936.81,1992.23,8252,530,375,9157
S1051,LR-22719,FastCargo,MH12FH2499,Mukesh,Chandrapur,Latur,2024-02-09,Construction Material,116,3630.68,3685.9,16100,577,414,17091
S1052,LR-26400,FastCargo,MH12CF4471,Manoj,Osmanabad,Akola,2024-02-08,Construction Material,33,1013.6,1025.47,6233,735,543,7511
S1053,LR-41449,MetroCargo Logistics,MH12EB8859,Rajesh,Nashik,Sindhudurg,2024-01-15,Pharmaceuticals,120,4002.86,4072.45,22135,418,647,23200
S1054,LR-49601,BlueLine Transport,MH12GE1739,Manoj,Pune,Kolhapur,2024-02-20,Machinery,37,1532.92,1550.4,9268,716,363,10347
S1055,LR-47436,FastCargo,MH12DB4817,Arun,Pune,Nashik,2024-01-26,Food Products,120,3364.62,3462.9,21873,316,549,22738
S1056,LR-67162,ExpressHaul Pvt Ltd,MH12EE9782,Ganesh,Akola,Latur,2024-01-22,Food Products,120,3642.99,3743.67,19721,303,261,20285
S1057,LR-74078,FastCargo,MH12DB9053,Suresh,Solapur,Amravati,2024-02-11,Machinery,54,1989.54,2091.2,11964,541,767,13272
S1058,LR-27916,BlueLine Transport,MH12HG1167,Rakesh,Pune,Kolhapur,2024-03-10,Chemical Drums,120,4116.18,4131.06,27717,695,265,28677
S1059,LR-35668,FastCargo,MH12HB2369,Mahesh,Nagpur,Pune,2024-01-14,Pharmaceuticals,85,3038.69,3181.07,18875,325,745,19945
S1060,LR-48171,FastCargo,MH12GC9185,Sandeep,Nashik,Mumbai,2024-01-28,Consumer Goods,105,2181.2,2229.03,15113,289,618,16020
S1061,LR-25604,MetroCargo Logistics,MH12DD1362,Rajesh,Mumbai,Pune,2024-02-25,Pharmaceuticals,120,4106.67,4223.11,16829,640,506,17975
S1062,LR-91285,UrbanMove Logistics,MH12GH6372,Deepak,Chandrapur,Satara,2024-03-03,Pharmaceuticals,71,1488.49,1565.02,9682,649,508,10839
S1063,LR-57536,ABC_Logistics,MH12FB2848,Mahesh,Pune,Nashik,2024-02-13,Machinery,98,2857.13,2886.99,16360,512,553,17425
S1064,LR-74893,ExpressHaul Pvt Ltd,MH12FF1357,Mahendra,Solapur,Gondia,2024-01-04,Construction Material,52,966.45,1042.85,4471,798,206,5475
S1065,LR-79032,ABC_Logistics,MH12FC4001,Rakesh,Osmanabad,Parbhani,2024-01-03,Pharmaceuticals,72,1529.54,1615.51,6542,270,569,7381
S1066,LR-66069,BlueLine Transport,MH12BH7163,Nitin,Mumbai,Aurangabad,2024-03-11,Consumer Goods,120,2999.52,3135.17,19674,386,537,20597
S1067,LR-86933,RapidHaul Logistics,MH12DA5938,Mahendra,Mumbai,Nashik,2024-01-16,Steel Coils,120,4961.98,5098.13,21944,398,439,22781
S1068,LR-28265,PrimeRoute Carriers,MH12AA6374,Santosh,Pune,Mumbai,2024-03-06,Steel Coils,120,3480.67,3512.98,22626,236,348,23210
S1069,LR-54692,FastCargo,MH12CF9879,Vinod,Pune,Kolhapur,2024-01-07,Pharmaceuticals,66,2672.96,2759.01,14760,526,605,15891
S1070,LR-55493,ABC_Logistics,MH12FD9186,Anil,Satara,Kolhapur,2024-01-01,Automotive Parts,110,2159.21,2267.93,12382,566,456,13404
S1071,LR-82927,ABC_Logistics,MH12EE6644,Rahul,Sangli,Nagpur,2024-01-01,Steel Coils,94,2929.42,3028.82,13865,480,615,14960
S1072,LR-46776,ExpressHaul Pvt Ltd,MH12GH9603,Shankar,Mumbai,Aurangabad,2024-02-07,Plastic Granules,28,959.54,961.91,6192,424,500,7116
S1073,LR-71601,FastCargo,MH12EB5295,Mahesh,Beed,Latur,2024-02-17,Construction Material,120,2697.62,2931.97,11100,224,326,11650
S1074,LR-50377,FastCargo,MH12BA3696,Balaji,Sangli,Aurangabad,2024-01-19,Food Products,36,1138.66,1473.68,6498,487,315,7300
S1075,LR-30214,ABC_Logistics,MH12BE8938,Ashok,Nagpur,Pune,2024-02-06,Consumer Goods,120,2946.79,3524.9,17325,650,541,18516
S1076,LR-22101,ABC_Logistics,MH12FG6585,Manoj,Mumbai,Pune,2024-03-07,Chemical Drums,120,4782.67,4790.67,31606,788,476,32870
S1077,LR-95915,MetroCargo Logistics,MH12GC1935,Rajesh,Pune,Mumbai,2024-02-01,Food Products,120,4251.37,4335.64,23295,670,357,24322
S1078,LR-98233,UrbanMove Logistics,MH12AG2752,Amit,Gondia,Aurangabad,2024-01-09,Chemical Drums,27,1026.06,1098.51,4926,661,301,5888
S1079,LR-97426,FastCargo,MH12GF5532,Shankar,Satara,Chandrapur,2024-01-19,Construction Material,120,3830.61,3956.21,18420,256,220,18896
S1080,LR-75490,ABC_Logistics,MH12AD3577,Balaji,Mumbai,Nashik,2024-01-22,Electronics,120,4336.53,4392.63,23980,409,412,24801
S1081,LR-34356,BlueLine Transport,MH12GB5168,Nitin,Pune,Kolhapur,2024-02-17,Steel Coils,93,3368.78,3641.09,20498,500,363,21361
S1082,LR-53189,ABC_Logistics,MH12EG4882,Sanjay,Solapur,Pune,2024-01-25,Pharmaceuticals,120,4603.76,4604.78,27871,239,298,28408
S1083,LR-40065,FastCargo,MH12BD7134,Balaji,Pune,Sindhudurg,2024-01-10,Chemical Drums,120,4540.08,4615.63,31318,222,387,31927
S1084,LR-63822,UrbanMove Logistics,MH12CA5311,Vijay,Satara,Dhule,2024-02-07,Pharmaceuticals,120,4609.39,4698.07,28845,364,467,29676
S1085,LR-31283,BlueLine Transport,MH12BH5340,Ramesh,Nagpur,Pune,2024-01-20,Steel Coils,120,4482.79,4591.53,22460,276,778,23514
S1086,LR-27288,PrimeRoute Carriers,MH12BA7742,Ganesh,Kolhapur,Akola,2024-02-14,Textiles,120,3253.22,3326.11,16531,749,799,18079
S1087,LR-24579,RapidHaul Logistics,MH12CH4064,Suresh,Nashik,Mumbai,2024-02-21,Consumer Goods,89,3297.08,3419.3,20510,654,641,21805
S1088,LR-73854,MetroCargo Logistics,MH12DG8520,Amit,Mumbai,Pune,2024-01-19,Machinery,120,2527.12,2546.33,13868,754,391,15013
S1089,LR-25898,BlueLine Transport,MH12AF3674,Rajesh,Mumbai,Pune,2024-02-22,Automotive Parts,120,4923.22,5014.63,25146,625,627,26398
S1090,LR-88572,RapidHaul Logistics,MH12EF7241,Amit,Dhule,Chandrapur,2024-02-09,Steel Coils,80,2915.55,2967.2,11945,326,247,12518
S1091,LR-26916,RapidHaul Logistics,MH12CD8294,Vijay,Mumbai,Aurangabad,2024-03-01,Electronics,120,3087.29,3184.19,15254,677,594,16525
S1092,LR-49058,BlueLine Transport,MH12EB3002,Anil,Ratnagiri,Sangli,2024-02-11,Chemical Drums,103,3549.65,3573.62,17969,538,242,18749
S1093,LR-95691,ABC_Logistics,MH12EG9363,Mahendra,Pune,Nashik,2024-01-27,Pharmaceuticals,120,4950.15,5022.55,34359,473,569,35401
S1094,LR-30577,FastCargo,MH12DF6833,Sandeep,Nashik,Mumbai,2024-01-09,Pharmaceuticals,54,2179.87,2245.6,10281,688,540,11509
S1095,LR-28429,ABC_Logistics,MH12GA6331,Vijay,Chandrapur,Wardha,2024-02-04,Automotive Parts,120,4839.65,4874.31,24721,680,788,26189
S1096,LR-66029,ABC_Logistics,MH12CH3287,Naresh,Pune,Kolhapur,2024-02-03,Pharmaceuticals,90,2471.54,2491.55,12359,327,474,13160
S1097,LR-76676,FastCargo,MH12HD1824,Suresh,Pune,Nashik,2024-02-19,Construction Material,120,3577.33,3703.45,18025,230,411,18666
S1098,LR-14354,MetroCargo Logistics,MH12EH4303,Rakesh,Mumbai,Pune,2024-03-04,Pharmaceuticals,120,4684.66,4685.71,23100,315,342,23757
S1099,LR-46894,RapidHaul Logistics,MH12BD1285,Kiran,Kolhapur,Sangli,2024-01-04,Machinery,120,3180.0,3298.05,18831,735,482,20048
S1100,LR-57551,MetroCargo Logistics,MH12EG3438,Amit,Mumbai,Aurangabad,2024-03-08,Consumer Goods,120,4348.28,4352.41,26965,387,655,28007
S1101,LR-24325,ABC_Logistics,MH12EH9448,Sachin,Nagpur,Pune,2024-01-11,Textiles,120,3098.89,3104.27,19814,411,631,20856
S1102,LR-18831,ABC_Logistics,MH12HC2816,Pravin,Amravati,Wardha,2024-03-08,Textiles,108,3661.02,3729.64,25881,303,776,26960
S1103,LR-53508,BlueLine Transport,MH12BB6558,Ajay,Mumbai,Nashik,2024-01-18,Chemical Drums,120,4895.06,5012.3,22454,463,221,23138
S1104,LR-58155,MetroCargo Logistics,MH12GC1203,Shankar,Dhule,Nashik,2024-02-20,Food Products,120,4448.37,4594.88,27174,605,640,28419
S1105,LR-82668,ABC_Logistics,MH12GA6095,Dinesh,Satara,Chandrapur,2024-02-16,Machinery,120,4001.76,4033.94,20610,536,772,21918
S1106,LR-40969,ABC_Logistics,MH12EB2432,Sanjay,Sangli,Gondia,2024-02-27,Plastic Granules,116,3878.94,3908.41,20040,254,355,20649
S1107,LR-77688,MetroCargo Logistics,MH12DA6515,Nitin,Mumbai,Pune,2024-01-10,Chemical Drums,116,2522.72,2588.86,12336,519,642,13497
S1108,LR-16102,PrimeRoute Carriers,MH12FC2580,Prakash,Mumbai,Aurangabad,2024-01-28,Chemical Drums,120,4315.13,4442.47,23567,522,752,24841
S1109,LR-51421,ABC_Logistics,MH12CG4873,Kiran,Parbhani,Akola,2024-02-24,Plastic Granules,120,3477.17,3547.7,20525,642,439,21606
S1110,LR-38144,UrbanMove Logistics,MH12BD8351,Suresh,Mumbai,Nashik,2024-02-15,Chemical Drums,107,1996.66,2037.33,11603,598,741,12942
S1111,LR-16328,FastCargo,MH12CH9416,Vijay,Pune,Mumbai,2024-01-19,Construction Material,98,1656.02,1696.81,11078,441,275,11794
S1112,LR-31871,ABC_Logistics,MH12DH1559,Manoj,Mumbai,Pune,2024-01-27,Textiles,120,4444.8,4490.43,17772,371,507,18650
S1113,LR-76352,BlueLine Transport,MH12EF5924,Sanjay,Pune,Mumbai,2024-01-21,Electronics,120,4700.81,4762.63,24150,578,458,25186
S1114,LR-96211,FastCargo,MH12GA1624,Deepak,Nashik,Mumbai,2024-01-04,Machinery,53,889.44,944.63,5222,712,563,6497
S1115,LR-52867,ABC_Logistics,MH12BA6774,Rahul,Nagpur,Pune,2024-01-25,Food Products,73,1711.83,1821.59,7611,752,744,9107
S1116,LR-10264,BlueLine Transport,MH12GD7366,Amit,Latur,Pune,2024-03-04,Construction Material,90,2694.41,2842.06,11740,622,517,12879
S1117,LR-72988,UrbanMove Logistics,MH12DA7098,Suresh,Pune,Nashik,2024-02-02,Pharmaceuticals,52,1840.65,1986.75,10454,356,422,11232
S1118,LR-38194,ABC_Logistics,MH12FF4509,Ramesh,Mumbai,Nagpur,2024-02-26,Pharmaceuticals,67,2772.99,2788.66,16612,264,736,17612
S1119,LR-21405,UrbanMove Logistics,MH12DC1489,Vijay,Sindhudurg,Akola,2024-03-10,Consumer Goods,120,4860.85,5396.12,32099,442,671,33212
S1120,LR-56579,FastCargo,MH12FH2623,Mahesh,Nagpur,Pune,2024-03-01,Consumer Goods,93,3556.97,3582.0,18628,419,516,19563
S1121,LR-63790,ExpressHaul Pvt Ltd,MH12AE7555,Sunil,Beed,Yavatmal,2024-01-19,Steel Coils,66,1831.43,1890.18,10742,653,619,12014
S1122,LR-43290,FastCargo,MH12HC4616,Rajesh,Pune,Nashik,2024-01-09,Steel Coils,120,4925.82,5056.7,28018,626,356,29000
S1123,LR-95663,FastCargo,MH12BG7325,Rakesh,Mumbai,Nashik,2024-01-13,Food Products,70,1585.94,1590.19,6955,379,769,8103
S1124,LR-58712,PrimeRoute Carriers,MH12DF4782,Ashok,Mumbai,Nashik,2024-01-24,Construction Material,72,2750.3,2845.61,13344,702,511,14557
S1125,LR-52589,FastCargo,MH12DG1091,Dinesh,Nanded,Wardha,2024-02-15,Automotive Parts,93,3267.51,3364.78,14828,792,757,16377
S1126,LR-74645,BlueLine Transport,MH12EG7624,Prakash,Pune,Mumbai,2024-01-12,Construction Material,120,4708.6,4784.27,21870,283,583,22736
S1127,LR-35349,FastCargo,MH12HE6577,Sanjay,Pune,Mumbai,2024-02-03,Construction Material,120,3414.98,3514.63,14453,681,228,15362
S1128,LR-62458,BlueLine Transport,MH12GB5851,Ashok,Ratnagiri,Yavatmal,2024-02-23,Pharmaceuticals,39,1409.17,1463.65,6861,520,421,7802
S1129,LR-15910,FastCargo,MH12EA3215,Ganesh,Dhule,Kolhapur,2024-02-16,Consumer Goods,36,952.05,966.71,5757,796,233,6786
S1130,LR-70793,FastCargo,MH12CC8091,Shankar,Pune,Nashik,2024-03-05,Food Products,87,3068.31,3143.92,20317,586,652,21555
S1131,LR-37278,RapidHaul Logistics,MH12HH4666,Santosh,Sangli,Mumbai,2024-02-01,Electronics,56,1683.96,1796.85,8909,406,629,9944
S1132,LR-11296,ABC_Logistics,MH12BH5026,Santosh,Sangli,Wardha,2024-02-01,Electronics,78,1463.68,1516.81,9638,494,763,10895
S1133,LR-50926,FastCargo,MH12BE6581,Rakesh,Ratnagiri,Yavatmal,2024-02-07,Consumer Goods,120,4884.1,4926.98,33785,654,629,35068
S1134,LR-99743,BlueLine Transport,MH12CB7365,Prakash,Nashik,Gondia,2024-02-25,Chemical Drums,79,2665.81,2666.29,11795,375,641,12811
S1135,LR-71369,RapidHaul Logistics,MH12CD2789,Balaji,Pune,Nashik,2024-02-16,Textiles,39,1203.47,1279.11,6874,288,362,7524
S1136,LR-70152,ABC_Logistics,MH12EE9594,Shankar,Nagpur,Pune,2024-03-07,Textiles,108,2742.84,2805.89,14042,579,545,15166
S1137,LR-25370,MetroCargo Logistics,MH12AB5138,Pravin,Nagpur,Pune,2024-02-23,Pharmaceuticals,120,3033.2,3066.69,17650,574,414,18638
S1138,LR-95141,PrimeRoute Carriers,MH12CG4815,Sanjay,Aurangabad,Sangli,2024-02-13,Machinery,120,4808.04,4898.38,28311,376,382,29069
S1139,LR-50056,FastCargo,MH12DB6696,Deepak,Mumbai,Nashik,2024-01-18,Consumer Goods,69,2692.35,2737.54,12556,213,722,13491
S1140,LR-28574,ABC_Logistics,MH12EE8201,Santosh,Nagpur,Pune,2024-02-18,Consumer Goods,94,2295.32,2357.93,9445,666,555,10666
S1141,LR-44613,FastCargo,MH12BH4235,Ganesh,Satara,Sindhudurg,2024-01-01,Construction Material,97,3224.86,3254.55,20438,492,626,21556
S1142,LR-94297,BlueLine Transport,MH12BC5011,Naresh,Pune,Mumbai,2024-01-20,Construction Material,120,4450.03,4461.69,29454,765,749,30968
S1143,LR-85447,FastCargo,MH12BC1509,Pravin,Nagpur,Amravati,2024-03-11,Pharmaceuticals,112,2386.04,2419.19,16190,491,539,17220
S1144,LR-69730,FastCargo,MH12CA8719,Sunil,Amravati,Latur,2024-02-13,Chemical Drums,120,3361.28,3840.19,22031,532,346,22909
S1145,LR-73830,ABC_Logistics,MH12HA4428,Ajay,Jalgaon,Latur,2024-01-04,Textiles,102,1882.79,1956.49,12911,700,656,14267
S1146,LR-59209,ExpressHaul Pvt Ltd,MH12DA9641,Vinod,Amravati,Latur,2024-01-07,Construction Material,40,1260.41,1270.28,6964,560,250,7774
S1147,LR-60085,BlueLine Transport,MH12HH4777,Dinesh,Pune,Mumbai,2024-02-20,Machinery,70,1557.67,1620.4,8170,596,511,9277
S1148,LR-16553,PrimeRoute Carriers,MH12GE9327,Kiran,Mumbai,Kolhapur,2024-02-09,Textiles,120,4182.88,4295.72,21228,664,626,22518
S1149,LR-44805,ExpressHaul Pvt Ltd,MH12GC8237,Santosh,Nagpur,Pune,2024-01-19,Textiles,120,4404.59,5003.98,26186,407,408,27001
S1150,LR-47540,FastCargo,MH12GH8039,Ramesh,Pune,Nashik,2024-02-22,Consumer Goods,120,2831.72,2888.05,17128,425,752,18305
S1151,LR-36872,BlueLine Transport,MH12GD3240,Vijay,Nagpur,Pune,2024-01-08,Consumer Goods,113,3954.16,4099.42,18704,788,359,19851
S1152,LR-30526,FastCargo,MH12CG6782,Mahesh,Mumbai,Aurangabad,2024-01-12,Automotive Parts,120,4020.25,4067.82,24058,689,749,25496
S1153,LR-68375,BlueLine Transport,MH12HC6538,Balaji,Sindhudurg,Chandrapur,2024-02-29,Construction Material,120,3175.09,3186.22,14616,523,684,15823
S1154,LR-18798,ABC_Logistics,MH12FH5332,Prakash,Bhandara,Solapur,2024-01-25,Steel Coils,70,2512.07,2516.28,12127,459,660,13246
S1155,LR-53057,ABC_Logistics,MH12GA8233,Amit,Pune,Kolhapur,2024-01-23,Consumer Goods,69,2261.12,2371.46,14596,277,344,15217
S1156,LR-87200,PrimeRoute Carriers,MH12DD7156,Kiran,Ratnagiri,Beed,2024-01-25,Plastic Granules,120,3896.17,3982.2,21652,587,337,22576
S1157,LR-24264,FastCargo,MH12CD4844,Ganesh,Mumbai,Solapur,2024-03-05,Plastic Granules,120,3657.37,3765.65,17175,647,568,18390
S1158,LR-39231,UrbanMove Logistics,MH12AG1730,Manoj,Jalgaon,Kolhapur,2024-01-15,Electronics,44,1438.1,1476.45,8519,254,281,9054
S1159,LR-88623,FastCargo,MH12GD3269,Amit,Bhandara,Nanded,2024-02-08,Pharmaceuticals,106,3247.49,3396.68,22382,510,752,23644
S1160,LR-28302,MetroCargo Logistics,MH12BF2438,Sanjay,Mumbai,Nashik,2024-02-12,Textiles,76,3075.97,3117.81,17654,653,516,18823
S1161,LR-75441,FastCargo,MH12EG2681,Kiran,Solapur,Mumbai,2024-01-17,Machinery,120,4674.38,4810.26,27598,595,305,28498
S1162,LR-25065,FastCargo,MH12GA9580,Deepak,Jalgaon,Pune,2024-01-15,Automotive Parts,120,3760.65,3830.62,18930,792,498,20220
S1163,LR-31717,FastCargo,MH12EE3523,Nitin,Amravati,Latur,2024-02-21,Plastic Granules,50,1338.73,1384.45,6933,690,303,7926
S1164,LR-91997,ExpressHaul Pvt Ltd,MH12DE3440,Rajesh,Mumbai,Nashik,2024-01-04,Plastic Granules,89,2737.52,2858.68,15365,518,266,16149
S1165,LR-11352,RapidHaul Logistics,MH12AH1122,Shankar,Mumbai,Aurangabad,2024-02-11,Construction Material,110,2555.19,2582.83,12493,212,383,13088
S1166,LR-31520,UrbanMove Logistics,MH12HG9573,Rajesh,Pune,Nashik,2024-02-12,Chemical Drums,120,3931.2,4031.25,17992,614,698,19304
S1167,LR-55378,ABC_Logistics,MH12DD6833,Amit,Satara,Amravati,2024-03-02,Consumer Goods,38,856.14,885.73,5961,565,411,6937
S1168,LR-28820,BlueLine Transport,MH12HF3907,Manoj,Jalgaon,Solapur,2024-02-05,Plastic Granules,84,3270.15,3406.33,14565,443,569,15577
S1169,LR-78131,BlueLine Transport,MH12AA3824,Amit,Pune,Nashik,2024-02-10,Electronics,120,4439.17,4581.35,26572,576,632,27780
S1170,LR-14744,FastCargo,MH12AC1793,Pravin,Bhandara,Ratnagiri,2024-01-04,Pharmaceuticals,70,1784.86,1838.87,12214,455,367,13036
S1171,LR-43746,FastCargo,MH12FF5350,Mahesh,Wardha,Nashik,2024-01-10,Construction Material,68,2653.03,2777.87,16417,675,659,17751
S1172,LR-39289,FastCargo,MH12DD2394,Mahendra,Mumbai,Nashik,2024-01-02,Pharmaceuticals,120,4805.47,4952.58,21145,545,436,22126
